"","article_year","year","quartile_year","n","mean_acc_delay","mean_pub_delay","median_acc_delay","median_pub_delay","2_months_acc","6_months_acc","1_year_acc","2_months_pub","6_months_pub","1_year_pub"
"13","2019","2019","Q1",412021,126.864756893459,25.4635734586344,106,17,23.8405324000476,79.2913468002845,97.3668817851517,91.3244713254907,99.4614352181078,99.9123831066863
"14","2019","2019","Q2",131596,117.715523268184,30.605983464543,96,17,28.2896136660689,81.9075047873796,97.7560108209976,88.8651630748655,98.2605854281285,99.4901060822517
"15","2019","2019","Q3",30034,124.311979756276,59.7192515149497,99,29,28.3112472531131,78.5642938003596,97.0000665911966,72.5544383032563,92.9180262369315,98.03888925884
"16","2019","2019","Q4",1756,106.835421412301,58.0427107061503,80.5,36,38.1548974943052,82.9726651480638,98.1776765375854,72.6651480637813,94.4760820045558,99.0318906605923
"17","2020","2020","Q1",474238,120.303864304421,25.0430522227236,98,17,27.6799834682164,81.0489669743884,97.5668335308432,92.097427873768,99.4532281259621,99.8673661747899
"18","2020","2020","Q2",188305,103.671713443615,26.1632192453732,82,15,36.6692334244975,85.8134409601444,98.3840046732694,90.8759724914368,98.7711425612703,99.7817370754892
"19","2020","2020","Q3",45277,111.479559158071,55.6650396448528,85,25,36.6433288424586,82.0549064646509,97.2325904984871,73.9558716346048,93.4470039976147,98.2993572895731
"20","2020","2020","Q4",6805,70.9503306392359,51.0066127847171,48,23,59.3240264511389,92.3732549595885,99.1329904481998,78.1631153563556,93.5929463629684,98.8537839823659
"21","2021","2021","Q1",577298,114.457524536721,22.963329164487,90,15,32.9647772900651,82.1250030313633,97.6698342970182,93.7184954737415,99.3892235898964,99.898319412158
"22","2021","2021","Q2",187379,110.654705169736,29.5497841273569,88,15,33.8255620960727,83.5136274609214,98.0301954861537,89.5489889475341,97.8055171604075,99.5394361161069
"23","2021","2021","Q3",46615,116.478536951625,55.9905395259037,92,26,32.4938324573635,81.2892845650542,97.2090528799743,72.6439987128607,92.9808001716186,98.8651721548858
"24","2021","2021","Q4",6452,84.6827340359578,48.6942033477991,63,28,48.5275883446993,89.4606323620583,98.9150650960942,74.8760074395536,95.0092994420335,99.5970241785493
"25","2022","2022","Q1",583709,115.086618503398,21.0404927797927,89,14,34.428114008864,81.6295448588252,97.3459377874934,94.7067802620826,99.5290461514213,99.8843601863257
"26","2022","2022","Q2",228116,99.7184020410668,24.5041908502692,73,14,41.9207771484683,86.4156832488734,98.0777323817707,92.6357642602886,98.8440091883077,99.6663977976117
"27","2022","2022","Q3",37604,119.500452079566,60.0047601319009,93,25,31.6854589937241,81.0179768109776,96.5668545899373,72.9230932879481,92.0141474311243,97.7342835868525
"28","2022","2022","Q4",4838,73.3065316246383,60.1661843737081,42,32,60.3761885076478,90.6572964034725,98.5117817279868,74.5349317899959,93.4890450599421,98.5117817279868
"29","2023","2023","Q1",564956,119.00894405936,18.2278442922989,93,11,31.4978511600903,80.8317815900707,97.2199604924985,95.3587536020504,99.6112971629649,99.9352161938275
"30","2023","2023","Q2",205037,104.407463043256,22.9965518418627,80,14,36.4348873617932,85.9069338704722,98.1861810307408,93.0724698469057,98.9792086306374,99.7171242263591
"31","2023","2023","Q3",38050,113.652010512484,52.4771879106439,86,22,35.3692509855453,82.3521681997372,96.9487516425756,77.7293035479632,93.6294349540079,98.0473061760841
"32","2023","2023","Q4",3074,96.5162654521796,58.1932335718933,70,35,44.6649316851008,87.0852309694209,97.3649967469096,68.6402081977879,94.8601171112557,98.5686402081978
"33","2024","2024","Q1",625598,125.72077596156,19.5657179210931,101,11,26.6560954478755,79.2155665459289,97.0324393620184,94.3962416759644,99.35597620197,99.8692451062823
"34","2024","2024","Q2",187973,110.332308363435,24.8596234565603,89,14,32.9339852000021,84.0657966835662,98.1279226271858,90.8423018199422,98.9471892239843,99.7919914030206
"35","2024","2024","Q3",38218,117.973808153226,54.2825893558009,92,24,30.9147522110001,81.8279344811345,97.0171123554346,75.8098278298184,93.9164791459522,98.3227798419593
"36","2024","2024","Q4",2091,102.90387374462,44.8593974175036,80,31,39.5982783357245,86.0832137733142,97.5609756097561,76.8531802965089,97.8000956480153,99.8565279770445
